listing_id,date,available,price,,Avg_Price,Median_Price
228273,1/1/2019,t,$129.00 ,,131.2725524,90
230836,1/1/2019,t,$125.00 ,,,
2384,1/1/2019,t,$69.00 ,,,
233933,1/1/2019,t,$45.00 ,,,
872247,1/1/2019,t,$130.00 ,,,
873628,1/1/2019,t,$150.00 ,,,
887038,1/1/2019,t,$150.00 ,,,
234442,1/1/2019,t,$115.00 ,,,
236792,1/1/2019,t,$225.00 ,,,
241514,1/1/2019,t,$55.00 ,,,
909096,1/1/2019,t,$300.00 ,,,
918314,1/1/2019,t,$50.00 ,,,
248791,1/1/2019,t,$90.00 ,,,
250354,1/1/2019,t,$170.00 ,,,
258253,1/1/2019,t,$48.00 ,,,
261509,1/1/2019,t,$129.00 ,,,
927327,1/1/2019,t,"$1,250.00 ",,,
931105,1/1/2019,t,$75.00 ,,,
960326,1/1/2019,t,$203.00 ,,,
265238,1/1/2019,t,$60.00 ,,,
267299,1/1/2019,t,$750.00 ,,,
267646,1/1/2019,t,$97.00 ,,,
984850,1/1/2019,t,$899.00 ,,,
275496,1/1/2019,t,$175.00 ,,,
289884,1/1/2019,t,$125.00 ,,,
298321,1/1/2019,t,$39.00 ,,,
308331,1/1/2019,t,$70.00 ,,,
1020810,1/1/2019,t,$100.00 ,,,
325842,1/1/2019,t,$379.00 ,,,
345075,1/1/2019,t,$80.00 ,,,
1027463,1/1/2019,t,$45.00 ,,,
1027741,1/1/2019,t,$45.00 ,,,
1032943,1/1/2019,t,$200.00 ,,,
1056430,1/1/2019,t,$69.00 ,,,
1080532,1/1/2019,t,$114.00 ,,,
363703,1/1/2019,t,$35.00 ,,,
1101458,1/1/2019,t,$40.00 ,,,
1113259,1/1/2019,t,$48.00 ,,,
372929,1/1/2019,t,$185.00 ,,,
387336,1/1/2019,t,$230.00 ,,,
395257,1/1/2019,t,$27.00 ,,,
397472,1/1/2019,t,$80.00 ,,,
7126,1/1/2019,t,$65.00 ,,,
412182,1/1/2019,t,$90.00 ,,,
1138252,1/1/2019,t,$375.00 ,,,
1138514,1/1/2019,t,$60.00 ,,,
1141045,1/1/2019,t,$55.00 ,,,
1185749,1/1/2019,t,$140.00 ,,,
422214,1/1/2019,t,$150.00 ,,,
450648,1/1/2019,t,$119.00 ,,,
464581,1/1/2019,t,$48.00 ,,,
1195259,1/1/2019,t,$135.00 ,,,
1229267,1/1/2019,t,$40.00 ,,,
1278457,1/1/2019,t,$750.00 ,,,
479086,1/1/2019,t,$20.00 ,,,
507517,1/1/2019,t,$95.00 ,,,
533831,1/1/2019,t,$310.00 ,,,
1304049,1/1/2019,t,$100.00 ,,,
1313847,1/1/2019,t,$50.00 ,,,
1336364,1/1/2019,t,$80.00 ,,,
1346414,1/1/2019,t,$95.00 ,,,
537419,1/1/2019,t,$130.00 ,,,
9811,1/1/2019,t,$125.00 ,,,
1356190,1/1/2019,t,$90.00 ,,,
555140,1/1/2019,t,$100.00 ,,,
573540,1/1/2019,t,$490.00 ,,,
585353,1/1/2019,t,$46.00 ,,,
1361421,1/1/2019,t,$80.00 ,,,
1369384,1/1/2019,t,$60.00 ,,,
1411731,1/1/2019,t,$179.00 ,,,
585356,1/1/2019,t,$69.00 ,,,
589871,1/1/2019,t,$225.00 ,,,
634310,1/1/2019,t,$65.00 ,,,
640841,1/1/2019,t,$177.00 ,,,
1427950,1/1/2019,t,$100.00 ,,,
1428589,1/1/2019,t,$29.00 ,,,
1434078,1/1/2019,t,$700.00 ,,,
1439042,1/1/2019,t,$32.00 ,,,
1461451,1/1/2019,t,$22.00 ,,,
1468342,1/1/2019,t,$55.00 ,,,
642053,1/1/2019,t,$106.00 ,,,
642065,1/1/2019,t,$122.00 ,,,
650894,1/1/2019,t,$249.00 ,,,
10610,1/1/2019,t,$27.00 ,,,
651742,1/1/2019,t,$65.00 ,,,
662034,1/1/2019,t,$55.00 ,,,
675641,1/1/2019,t,$60.00 ,,,
1502674,1/1/2019,t,$145.00 ,,,
1503962,1/1/2019,t,$85.00 ,,,
686185,1/1/2019,t,$110.00 ,,,
697634,1/1/2019,t,$79.00 ,,,
699284,1/1/2019,t,$800.00 ,,,
709870,1/1/2019,t,$81.00 ,,,
1523904,1/1/2019,t,$120.00 ,,,
1524276,1/1/2019,t,$125.00 ,,,
1524306,1/1/2019,t,$245.00 ,,,
1554433,1/1/2019,t,$45.00 ,,,
724895,1/1/2019,t,$41.00 ,,,
726376,1/1/2019,t,$101.00 ,,,
727847,1/1/2019,t,$70.00 ,,,
731232,1/1/2019,t,$150.00 ,,,
739495,1/1/2019,t,$79.00 ,,,
1573401,1/1/2019,t,$32.00 ,,,
1584509,1/1/2019,t,$250.00 ,,,
1591370,1/1/2019,t,$99.00 ,,,
753809,1/1/2019,t,$99.00 ,,,
789429,1/1/2019,t,$99.00 ,,,
1641601,1/1/2019,t,$92.00 ,,,
1641696,1/1/2019,t,$79.00 ,,,
1648535,1/1/2019,t,$59.00 ,,,
789670,1/1/2019,t,$225.00 ,,,
790016,1/1/2019,t,$299.00 ,,,
1672647,1/1/2019,t,$102.00 ,,,
790934,1/1/2019,t,$64.00 ,,,
822313,1/1/2019,t,$70.00 ,,,
824518,1/1/2019,t,$99.00 ,,,
834943,1/1/2019,t,$125.00 ,,,
2737979,1/1/2019,t,$35.00 ,,,
1678422,1/1/2019,t,$75.00 ,,,
1684266,1/1/2019,t,$115.00 ,,,
1746734,1/1/2019,t,$100.00 ,,,
2778030,1/1/2019,t,$70.00 ,,,
2782345,1/1/2019,t,$105.00 ,,,
2819982,1/1/2019,t,$200.00 ,,,
2824585,1/1/2019,t,$40.00 ,,,
1759389,1/1/2019,t,$67.00 ,,,
1785039,1/1/2019,t,$109.00 ,,,
2832376,1/1/2019,t,$135.00 ,,,
2837146,1/1/2019,t,$129.00 ,,,
2874467,1/1/2019,t,$29.00 ,,,
1810118,1/1/2019,t,$59.00 ,,,
1837153,1/1/2019,t,$115.00 ,,,
1854000,1/1/2019,t,$130.00 ,,,
2879976,1/1/2019,t,$75.00 ,,,
2907112,1/1/2019,t,$130.00 ,,,
1900901,1/1/2019,t,$80.00 ,,,
1944802,1/1/2019,t,$200.00 ,,,
12140,1/1/2019,t,$309.00 ,,,
1960332,1/1/2019,t,$169.00 ,,,
22651,1/1/2019,t,$185.00 ,,,
1964520,1/1/2019,t,$139.00 ,,,
24833,1/1/2019,t,$72.00 ,,,
1965410,1/1/2019,t,$249.00 ,,,
1984545,1/1/2019,t,$419.00 ,,,
25267,1/1/2019,t,$225.00 ,,,
1995991,1/1/2019,t,$129.00 ,,,
3031898,1/1/2019,t,$98.00 ,,,
2020081,1/1/2019,t,$80.00 ,,,
2046900,1/1/2019,t,$98.00 ,,,
3053081,1/1/2019,t,$90.00 ,,,
3068787,1/1/2019,t,$150.00 ,,,
3105733,1/1/2019,t,$97.00 ,,,
2051505,1/1/2019,t,$220.00 ,,,
2051690,1/1/2019,t,$55.00 ,,,
2062638,1/1/2019,t,$175.00 ,,,
25269,1/1/2019,t,$195.00 ,,,
